subset,size,oracle_quality,oracle_cost,all_called_cost
mistralai/mistral-7b-chat|gpt-4-1106-preview|claude-v2,3,0.705,0.0013041,0.0057519
mistralai/mistral-7b-chat|gpt-4-1106-preview|gpt-3.5-turbo-1106,3,0.70733,0.0005391,0.0035781
mistralai/mistral-7b-chat|gpt-4-1106-preview|meta/code-llama-instruct-34b-chat,3,0.67424,0.0014991,0.0035068
mistralai/mistral-7b-chat|gpt-4-1106-preview|meta/llama-2-70b-chat,3,0.68582,0.0010794,0.0035374
mistralai/mistral-7b-chat|gpt-4-1106-preview|mistralai/mixtral-8x7b-chat,3,0.69198,0.0007534,0.0034693
mistralai/mistral-7b-chat|gpt-4-1106-preview|zero-one-ai/Yi-34B-Chat,3,0.70904,0.0004994,0.0035202
mistralai/mistral-7b-chat|WizardLM/WizardLM-13B-V1.2|claude-instant-v1,3,0.60032,8.94e-05,0.0003517
mistralai/mistral-7b-chat|WizardLM/WizardLM-13B-V1.2|claude-v1,3,0.60025,0.0004851,0.0022615
mistralai/mistral-7b-chat|WizardLM/WizardLM-13B-V1.2|claude-v2,3,0.62673,0.0006047,0.0025359
mistralai/mistral-7b-chat|WizardLM/WizardLM-13B-V1.2|gpt-3.5-turbo-1106,3,0.61415,9.43e-05,0.0003621
mistralai/mistral-7b-chat|WizardLM/WizardLM-13B-V1.2|meta/code-llama-instruct-34b-chat,3,0.39825,5.12e-05,0.0002909
mistralai/mistral-7b-chat|WizardLM/WizardLM-13B-V1.2|meta/llama-2-70b-chat,3,0.49663,6.68e-05,0.0003215
mistralai/mistral-7b-chat|WizardLM/WizardLM-13B-V1.2|mistralai/mixtral-8x7b-chat,3,0.53345,6.31e-05,0.0002534
mistralai/mistral-7b-chat|WizardLM/WizardLM-13B-V1.2|zero-one-ai/Yi-34B-Chat,3,0.62834,8.35e-05,0.0003043
mistralai/mistral-7b-chat|claude-instant-v1|claude-v1,3,0.62621,0.0002545,0.0024215
mistralai/mistral-7b-chat|claude-instant-v1|claude-v2,3,0.64286,0.000313,0.0026959
mistralai/mistral-7b-chat|claude-instant-v1|gpt-3.5-turbo-1106,3,0.65759,0.0001293,0.0005221
mistralai/mistral-7b-chat|claude-instant-v1|meta/code-llama-instruct-34b-chat,3,0.56024,0.0001095,0.0004509
mistralai/mistral-7b-chat|claude-instant-v1|meta/llama-2-70b-chat,3,0.59216,0.0001113,0.0004814
mistralai/mistral-7b-chat|claude-instant-v1|mistralai/mixtral-8x7b-chat,3,0.62025,9.53e-05,0.0004134
mistralai/mistral-7b-chat|claude-instant-v1|zero-one-ai/Yi-34B-Chat,3,0.65272,0.0001099,0.0004642
mistralai/mistral-7b-chat|claude-v1|claude-v2,3,0.64224,0.0009583,0.0046058
mistralai/mistral-7b-chat|claude-v1|gpt-3.5-turbo-1106,3,0.65855,0.0002876,0.002432
mistralai/mistral-7b-chat|claude-v1|meta/code-llama-instruct-34b-chat,3,0.5714,0.0007703,0.0023608
mistralai/mistral-7b-chat|claude-v1|meta/llama-2-70b-chat,3,0.60412,0.0005516,0.0023913
mistralai/mistral-7b-chat|claude-v1|mistralai/mixtral-8x7b-chat,3,0.61343,0.0003469,0.0023232
mistralai/mistral-7b-chat|claude-v1|zero-one-ai/Yi-34B-Chat,3,0.65807,0.0002504,0.0023741
mistralai/mistral-7b-chat|claude-v2|gpt-3.5-turbo-1106,3,0.66674,0.0003294,0.0027064
mistralai/mistral-7b-chat|claude-v2|meta/code-llama-instruct-34b-chat,3,0.59292,0.000916,0.0026352
mistralai/mistral-7b-chat|claude-v2|meta/llama-2-70b-chat,3,0.6185,0.0006486,0.0026657
mistralai/mistral-7b-chat|claude-v2|mistralai/mixtral-8x7b-chat,3,0.63447,0.0004331,0.0025976
mistralai/mistral-7b-chat|claude-v2|zero-one-ai/Yi-34B-Chat,3,0.66259,0.0002812,0.0026485
mistralai/mistral-7b-chat|gpt-3.5-turbo-1106|meta/code-llama-instruct-34b-chat,3,0.58048,0.000117,0.0004614
mistralai/mistral-7b-chat|gpt-3.5-turbo-1106|meta/llama-2-70b-chat,3,0.61415,0.0001179,0.0004919
mistralai/mistral-7b-chat|gpt-3.5-turbo-1106|mistralai/mixtral-8x7b-chat,3,0.6257,9.79e-05,0.0004238
mistralai/mistral-7b-chat|gpt-3.5-turbo-1106|zero-one-ai/Yi-34B-Chat,3,0.66828,0.0001137,0.0004747
mistralai/mistral-7b-chat|meta/code-llama-instruct-34b-chat|meta/llama-2-70b-chat,3,0.37965,7.11e-05,0.0004207
mistralai/mistral-7b-chat|meta/code-llama-instruct-34b-chat|mistralai/mixtral-8x7b-chat,3,0.48515,6.98e-05,0.0003526
mistralai/mistral-7b-chat|meta/code-llama-instruct-34b-chat|zero-one-ai/Yi-34B-Chat,3,0.58898,9.77e-05,0.0004035
mistralai/mistral-7b-chat|meta/llama-2-70b-chat|mistralai/mixtral-8x7b-chat,3,0.56798,8.29e-05,0.0003832
mistralai/mistral-7b-chat|meta/llama-2-70b-chat|zero-one-ai/Yi-34B-Chat,3,0.61981,0.0001027,0.0004341
mistralai/mistral-7b-chat|mistralai/mixtral-8x7b-chat|zero-one-ai/Yi-34B-Chat,3,0.63875,9.13e-05,0.000366
gpt-4-1106-preview|WizardLM/WizardLM-13B-V1.2|claude-instant-v1,3,0.70085,0.0005831,0.0035948
gpt-4-1106-preview|WizardLM/WizardLM-13B-V1.2|claude-v1,3,0.69883,0.0010097,0.0055046
gpt-4-1106-preview|WizardLM/WizardLM-13B-V1.2|claude-v2,3,0.70106,0.0010651,0.005779
gpt-4-1106-preview|WizardLM/WizardLM-13B-V1.2|gpt-3.5-turbo-1106,3,0.70592,0.0005225,0.0036052
gpt-4-1106-preview|WizardLM/WizardLM-13B-V1.2|meta/code-llama-instruct-34b-chat,3,0.67886,0.0011385,0.003534
gpt-4-1106-preview|WizardLM/WizardLM-13B-V1.2|meta/llama-2-70b-chat,3,0.68379,0.0009007,0.0035646
gpt-4-1106-preview|WizardLM/WizardLM-13B-V1.2|mistralai/mixtral-8x7b-chat,3,0.69565,0.0006879,0.0034965
gpt-4-1106-preview|WizardLM/WizardLM-13B-V1.2|zero-one-ai/Yi-34B-Chat,3,0.70822,0.0004775,0.0035474
gpt-4-1106-preview|claude-instant-v1|claude-v1,3,0.69609,0.00082,0.0056646
gpt-4-1106-preview|claude-instant-v1|claude-v2,3,0.6988,0.0008506,0.005939
gpt-4-1106-preview|claude-instant-v1|gpt-3.5-turbo-1106,3,0.70767,0.0005628,0.0037652
gpt-4-1106-preview|claude-instant-v1|meta/code-llama-instruct-34b-chat,3,0.68907,0.0007722,0.003694
gpt-4-1106-preview|claude-instant-v1|meta/llama-2-70b-chat,3,0.68897,0.0007513,0.0037246
gpt-4-1106-preview|claude-instant-v1|mistralai/mixtral-8x7b-chat,3,0.70376,0.0005244,0.0036565
gpt-4-1106-preview|claude-instant-v1|zero-one-ai/Yi-34B-Chat,3,0.70764,0.000498,0.0037074
gpt-4-1106-preview|claude-v1|claude-v2,3,0.6965,0.0022974,0.0078489
gpt-4-1106-preview|claude-v1|gpt-3.5-turbo-1106,3,0.70705,0.0007626,0.0056751
gpt-4-1106-preview|claude-v1|meta/code-llama-instruct-34b-chat,3,0.68695,0.0015085,0.0056039
gpt-4-1106-preview|claude-v1|meta/llama-2-70b-chat,3,0.68746,0.0012843,0.0056344
gpt-4-1106-preview|claude-v1|mistralai/mixtral-8x7b-chat,3,0.70096,0.0008013,0.0055663
gpt-4-1106-preview|claude-v1|zero-one-ai/Yi-34B-Chat,3,0.70657,0.0006302,0.0056172
gpt-4-1106-preview|claude-v2|gpt-3.5-turbo-1106,3,0.70644,0.0007944,0.0059495
gpt-4-1106-preview|claude-v2|meta/code-llama-instruct-34b-chat,3,0.68866,0.0016218,0.0058783
gpt-4-1106-preview|claude-v2|meta/llama-2-70b-chat,3,0.68749,0.0013753,0.0059088
gpt-4-1106-preview|claude-v2|mistralai/mixtral-8x7b-chat,3,0.70291,0.000833,0.0058407
gpt-4-1106-preview|claude-v2|zero-one-ai/Yi-34B-Chat,3,0.70589,0.0006511,0.0058916
gpt-4-1106-preview|gpt-3.5-turbo-1106|meta/code-llama-instruct-34b-chat,3,0.69452,0.0006815,0.0037045
gpt-4-1106-preview|gpt-3.5-turbo-1106|meta/llama-2-70b-chat,3,0.69506,0.0006575,0.003735
gpt-4-1106-preview|gpt-3.5-turbo-1106|mistralai/mixtral-8x7b-chat,3,0.70671,0.000506,0.0036669
gpt-4-1106-preview|gpt-3.5-turbo-1106|zero-one-ai/Yi-34B-Chat,3,0.71257,0.0004306,0.0037178
gpt-4-1106-preview|meta/code-llama-instruct-34b-chat|meta/llama-2-70b-chat,3,0.66865,0.0014245,0.0036638
gpt-4-1106-preview|meta/code-llama-instruct-34b-chat|mistralai/mixtral-8x7b-chat,3,0.68212,0.0008524,0.0035957
gpt-4-1106-preview|meta/code-llama-instruct-34b-chat|zero-one-ai/Yi-34B-Chat,3,0.69551,0.0006383,0.0036466
gpt-4-1106-preview|meta/llama-2-70b-chat|mistralai/mixtral-8x7b-chat,3,0.68917,0.0006465,0.0036263
gpt-4-1106-preview|meta/llama-2-70b-chat|zero-one-ai/Yi-34B-Chat,3,0.69678,0.0005843,0.0036772
gpt-4-1106-preview|mistralai/mixtral-8x7b-chat|zero-one-ai/Yi-34B-Chat,3,0.70959,0.0004464,0.0036091
WizardLM/WizardLM-13B-V1.2|claude-instant-v1|claude-v1,3,0.6133,0.0002332,0.0024487
WizardLM/WizardLM-13B-V1.2|claude-instant-v1|claude-v2,3,0.62768,0.0002833,0.0027231
WizardLM/WizardLM-13B-V1.2|claude-instant-v1|gpt-3.5-turbo-1106,3,0.64947,0.0001262,0.0005493
WizardLM/WizardLM-13B-V1.2|claude-instant-v1|meta/code-llama-instruct-34b-chat,3,0.56764,0.0001105,0.0004781
WizardLM/WizardLM-13B-V1.2|claude-instant-v1|meta/llama-2-70b-chat,3,0.58308,0.0001113,0.0005086
WizardLM/WizardLM-13B-V1.2|claude-instant-v1|mistralai/mixtral-8x7b-chat,3,0.62299,0.0001028,0.0004405
WizardLM/WizardLM-13B-V1.2|claude-instant-v1|zero-one-ai/Yi-34B-Chat,3,0.64622,0.0001119,0.0004914
WizardLM/WizardLM-13B-V1.2|claude-v1|claude-v2,3,0.62885,0.0007246,0.0046329
WizardLM/WizardLM-13B-V1.2|claude-v1|gpt-3.5-turbo-1106,3,0.64903,0.0002601,0.0024591
WizardLM/WizardLM-13B-V1.2|claude-v1|meta/code-llama-instruct-34b-chat,3,0.57223,0.0005389,0.0023879
WizardLM/WizardLM-13B-V1.2|claude-v1|meta/llama-2-70b-chat,3,0.59203,0.0004207,0.0024185
WizardLM/WizardLM-13B-V1.2|claude-v1|mistralai/mixtral-8x7b-chat,3,0.61525,0.0003064,0.0023504
WizardLM/WizardLM-13B-V1.2|claude-v1|zero-one-ai/Yi-34B-Chat,3,0.65064,0.0002249,0.0024013
WizardLM/WizardLM-13B-V1.2|claude-v2|gpt-3.5-turbo-1106,3,0.65574,0.0002949,0.0027336
WizardLM/WizardLM-13B-V1.2|claude-v2|meta/code-llama-instruct-34b-chat,3,0.59281,0.0006486,0.0026623
WizardLM/WizardLM-13B-V1.2|claude-v2|meta/llama-2-70b-chat,3,0.60367,0.0004923,0.0026929
WizardLM/WizardLM-13B-V1.2|claude-v2|mistralai/mixtral-8x7b-chat,3,0.63529,0.0003828,0.0026248
WizardLM/WizardLM-13B-V1.2|claude-v2|zero-one-ai/Yi-34B-Chat,3,0.65413,0.0002493,0.0026757
WizardLM/WizardLM-13B-V1.2|gpt-3.5-turbo-1106|meta/code-llama-instruct-34b-chat,3,0.59148,0.0001169,0.0004885
WizardLM/WizardLM-13B-V1.2|gpt-3.5-turbo-1106|meta/llama-2-70b-chat,3,0.61021,0.0001175,0.0005191
WizardLM/WizardLM-13B-V1.2|gpt-3.5-turbo-1106|mistralai/mixtral-8x7b-chat,3,0.63162,0.0001054,0.000451
WizardLM/WizardLM-13B-V1.2|gpt-3.5-turbo-1106|zero-one-ai/Yi-34B-Chat,3,0.66502,0.0001157,0.0005019
WizardLM/WizardLM-13B-V1.2|meta/code-llama-instruct-34b-chat|meta/llama-2-70b-chat,3,0.45179,8.89e-05,0.0004479
WizardLM/WizardLM-13B-V1.2|meta/code-llama-instruct-34b-chat|mistralai/mixtral-8x7b-chat,3,0.51584,8.51e-05,0.0003798
WizardLM/WizardLM-13B-V1.2|meta/code-llama-instruct-34b-chat|zero-one-ai/Yi-34B-Chat,3,0.60336,0.0001042,0.0004307
WizardLM/WizardLM-13B-V1.2|meta/llama-2-70b-chat|mistralai/mixtral-8x7b-chat,3,0.57829,9.35e-05,0.0004104
WizardLM/WizardLM-13B-V1.2|meta/llama-2-70b-chat|zero-one-ai/Yi-34B-Chat,3,0.61816,0.0001066,0.0004612
WizardLM/WizardLM-13B-V1.2|mistralai/mixtral-8x7b-chat|zero-one-ai/Yi-34B-Chat,3,0.64697,0.0001,0.0003932
claude-instant-v1|claude-v1|claude-v2,3,0.61528,0.0005319,0.0047929
claude-instant-v1|claude-v1|gpt-3.5-turbo-1106,3,0.64461,0.0003192,0.0026191
claude-instant-v1|claude-v1|meta/code-llama-instruct-34b-chat,3,0.58809,0.0003615,0.0025479
claude-instant-v1|claude-v1|meta/llama-2-70b-chat,3,0.59257,0.0003639,0.0025785
claude-instant-v1|claude-v1|mistralai/mixtral-8x7b-chat,3,0.62861,0.0002371,0.0025104
claude-instant-v1|claude-v1|zero-one-ai/Yi-34B-Chat,3,0.6455,0.0002623,0.0025613
claude-instant-v1|claude-v2|gpt-3.5-turbo-1106,3,0.64605,0.0003345,0.0028935
claude-instant-v1|claude-v2|meta/code-llama-instruct-34b-chat,3,0.59898,0.000409,0.0028223
claude-instant-v1|claude-v2|meta/llama-2-70b-chat,3,0.59466,0.00039,0.0028529
claude-instant-v1|claude-v2|mistralai/mixtral-8x7b-chat,3,0.64169,0.000279,0.0027848
claude-instant-v1|claude-v2|zero-one-ai/Yi-34B-Chat,3,0.64735,0.0002767,0.0028357
claude-instant-v1|gpt-3.5-turbo-1106|meta/code-llama-instruct-34b-chat,3,0.6282,0.0002054,0.0006485
claude-instant-v1|gpt-3.5-turbo-1106|meta/llama-2-70b-chat,3,0.62399,0.0002162,0.0006791
claude-instant-v1|gpt-3.5-turbo-1106|mistralai/mixtral-8x7b-chat,3,0.65495,0.0001568,0.000611
claude-instant-v1|gpt-3.5-turbo-1106|zero-one-ai/Yi-34B-Chat,3,0.66903,0.0001927,0.0006619
claude-instant-v1|meta/code-llama-instruct-34b-chat|meta/llama-2-70b-chat,3,0.54054,0.0001938,0.0006078
claude-instant-v1|meta/code-llama-instruct-34b-chat|mistralai/mixtral-8x7b-chat,3,0.59675,0.0001493,0.0005398
claude-instant-v1|meta/code-llama-instruct-34b-chat|zero-one-ai/Yi-34B-Chat,3,0.61946,0.0001825,0.0005907
claude-instant-v1|meta/llama-2-70b-chat|mistralai/mixtral-8x7b-chat,3,0.6135,0.0001493,0.0005703
claude-instant-v1|meta/llama-2-70b-chat|zero-one-ai/Yi-34B-Chat,3,0.62258,0.0001887,0.0006212
claude-instant-v1|mistralai/mixtral-8x7b-chat|zero-one-ai/Yi-34B-Chat,3,0.6603,0.0001482,0.0005531
claude-v1|claude-v2|gpt-3.5-turbo-1106,3,0.64903,0.000552,0.0048034
claude-v1|claude-v2|meta/code-llama-instruct-34b-chat,3,0.60254,0.0011776,0.0047322
claude-v1|claude-v2|meta/llama-2-70b-chat,3,0.6023,0.0009667,0.0047627
claude-v1|claude-v2|mistralai/mixtral-8x7b-chat,3,0.63978,0.0005584,0.0046946
claude-v1|claude-v2|zero-one-ai/Yi-34B-Chat,3,0.65115,0.000429,0.0047455
claude-v1|gpt-3.5-turbo-1106|meta/code-llama-instruct-34b-chat,3,0.6307,0.0003799,0.0025584
claude-v1|gpt-3.5-turbo-1106|meta/llama-2-70b-chat,3,0.62977,0.000367,0.0025889
claude-v1|gpt-3.5-turbo-1106|mistralai/mixtral-8x7b-chat,3,0.65447,0.0002724,0.0025208
claude-v1|gpt-3.5-turbo-1106|zero-one-ai/Yi-34B-Chat,3,0.67204,0.000263,0.0025717
claude-v1|meta/code-llama-instruct-34b-chat|meta/llama-2-70b-chat,3,0.56102,0.0007538,0.0025177
claude-v1|meta/code-llama-instruct-34b-chat|mistralai/mixtral-8x7b-chat,3,0.59203,0.000411,0.0024496
claude-v1|meta/code-llama-instruct-34b-chat|zero-one-ai/Yi-34B-Chat,3,0.62744,0.0003349,0.0025005
claude-v1|meta/llama-2-70b-chat|mistralai/mixtral-8x7b-chat,3,0.61135,0.0003065,0.0024802
claude-v1|meta/llama-2-70b-chat|zero-one-ai/Yi-34B-Chat,3,0.63125,0.000309,0.0025311
claude-v1|mistralai/mixtral-8x7b-chat|zero-one-ai/Yi-34B-Chat,3,0.65992,0.0002367,0.002463
claude-v2|gpt-3.5-turbo-1106|meta/code-llama-instruct-34b-chat,3,0.63649,0.0004175,0.0028328
claude-v2|gpt-3.5-turbo-1106|meta/llama-2-70b-chat,3,0.63066,0.0003903,0.0028633
claude-v2|gpt-3.5-turbo-1106|mistralai/mixtral-8x7b-chat,3,0.6594,0.0003001,0.0027952
claude-v2|gpt-3.5-turbo-1106|zero-one-ai/Yi-34B-Chat,3,0.67276,0.0002747,0.0028461
claude-v2|meta/code-llama-instruct-34b-chat|meta/llama-2-70b-chat,3,0.56339,0.0008394,0.0027921
claude-v2|meta/code-llama-instruct-34b-chat|mistralai/mixtral-8x7b-chat,3,0.61076,0.0004914,0.002724
claude-v2|meta/code-llama-instruct-34b-chat|zero-one-ai/Yi-34B-Chat,3,0.62882,0.0003598,0.0027749
claude-v2|meta/llama-2-70b-chat|mistralai/mixtral-8x7b-chat,3,0.62402,0.0003581,0.0027546
claude-v2|meta/llama-2-70b-chat|zero-one-ai/Yi-34B-Chat,3,0.63036,0.0003242,0.0028055
claude-v2|mistralai/mixtral-8x7b-chat|zero-one-ai/Yi-34B-Chat,3,0.66403,0.0002588,0.0027374
gpt-3.5-turbo-1106|meta/code-llama-instruct-34b-chat|meta/llama-2-70b-chat,3,0.58014,0.0001994,0.0006183
gpt-3.5-turbo-1106|meta/code-llama-instruct-34b-chat|mistralai/mixtral-8x7b-chat,3,0.60799,0.000152,0.0005502
gpt-3.5-turbo-1106|meta/code-llama-instruct-34b-chat|zero-one-ai/Yi-34B-Chat,3,0.64512,0.000185,0.0006011
gpt-3.5-turbo-1106|meta/llama-2-70b-chat|mistralai/mixtral-8x7b-chat,3,0.62786,0.0001517,0.0005808
gpt-3.5-turbo-1106|meta/llama-2-70b-chat|zero-one-ai/Yi-34B-Chat,3,0.65084,0.0001909,0.0006317
gpt-3.5-turbo-1106|mistralai/mixtral-8x7b-chat|zero-one-ai/Yi-34B-Chat,3,0.67054,0.0001499,0.0005636
meta/code-llama-instruct-34b-chat|meta/llama-2-70b-chat|mistralai/mixtral-8x7b-chat,3,0.54164,0.0001412,0.0005096
meta/code-llama-instruct-34b-chat|meta/llama-2-70b-chat|zero-one-ai/Yi-34B-Chat,3,0.58264,0.0001792,0.0005605
meta/code-llama-instruct-34b-chat|mistralai/mixtral-8x7b-chat|zero-one-ai/Yi-34B-Chat,3,0.62018,0.0001438,0.0004924
meta/llama-2-70b-chat|mistralai/mixtral-8x7b-chat|zero-one-ai/Yi-34B-Chat,3,0.63954,0.0001454,0.0005229
