a,b,acc_a,acc_b,p_b_ok_given_a_fail,p_a_ok_given_b_fail,cofail_jaccard,uniq_rescue_b_over_a,uniq_rescue_a_over_b,uniq_rescue_pp_b,uniq_rescue_pp_a,extra_cost_b_vs_a,uniq_rescues_per_extra_dollar_b
gpt-4-1106-preview,meta/llama-2-70b-chat,0.6429,0.2174,0.0441,0.5638,0.4276,460,12881,1.576,44.124,-0.0030861,460000000000000.0
gpt-4-1106-preview,mistralai/mixtral-8x7b-chat,0.6429,0.4366,0.0953,0.4266,0.5407,994,7016,3.405,24.033,-0.0031542,994000000000000.0
gpt-4-1106-preview,zero-one-ai/Yi-34B-Chat,0.6429,0.5315,0.1301,0.337,0.6032,1356,4609,4.645,15.788,-0.0031033,1356000000000000.0
WizardLM/WizardLM-13B-V1.2,claude-instant-v1,0.3232,0.4655,0.3406,0.165,0.5834,6730,2574,23.053,8.817,0.00016,42070758.5
WizardLM/WizardLM-13B-V1.2,claude-v1,0.3232,0.496,0.3499,0.1269,0.594,6913,1867,23.68,6.395,0.0020698,3339881.5
WizardLM/WizardLM-13B-V1.2,claude-v2,0.3232,0.4946,0.3782,0.1673,0.5528,7472,2468,25.595,8.454,0.0023442,3187388.9
WizardLM/WizardLM-13B-V1.2,gpt-3.5-turbo-1106,0.3232,0.4922,0.3791,0.1724,0.5498,7490,2556,25.657,8.756,0.0001704,43944263.9
WizardLM/WizardLM-13B-V1.2,meta/code-llama-instruct-34b-chat,0.3232,0.1032,0.0371,0.2733,0.7069,734,7156,2.514,24.513,9.92e-05,7397359.6
WizardLM/WizardLM-13B-V1.2,meta/llama-2-70b-chat,0.3232,0.2174,0.159,0.2726,0.6395,3141,6228,10.759,21.334,0.0001298,24201538.0
WizardLM/WizardLM-13B-V1.2,mistralai/mixtral-8x7b-chat,0.3232,0.4366,0.273,0.1266,0.6576,5395,2083,18.48,7.135,6.17e-05,87445426.5
WizardLM/WizardLM-13B-V1.2,zero-one-ai/Yi-34B-Chat,0.3232,0.5315,0.3969,0.1288,0.5537,7843,1762,26.866,6.036,0.0001126,69662200.8
claude-instant-v1,claude-v1,0.4655,0.496,0.192,0.1431,0.712,2995,2105,10.259,7.211,0.0019099,1568173.4
claude-instant-v1,claude-v2,0.4655,0.4946,0.2043,0.1585,0.692,3187,2339,10.917,8.012,0.0021843,1459068.7
claude-instant-v1,gpt-3.5-turbo-1106,0.4655,0.4922,0.2519,0.2127,0.6223,3931,3153,13.466,10.801,1.05e-05,375289282.1
claude-instant-v1,meta/code-llama-instruct-34b-chat,0.4655,0.1032,0.0727,0.4473,0.5297,1134,11712,3.884,40.119,-6.07e-05,1134000000000000.0
claude-instant-v1,meta/llama-2-70b-chat,0.4655,0.2174,0.0909,0.3791,0.5845,1419,8662,4.861,29.671,-3.02e-05,1419000000000000.0
claude-instant-v1,mistralai/mixtral-8x7b-chat,0.4655,0.4366,0.2232,0.2631,0.6081,3483,4327,11.931,14.822,-9.83e-05,3483000000000000.0
claude-instant-v1,zero-one-ai/Yi-34B-Chat,0.4655,0.5315,0.2668,0.1636,0.6412,4163,2238,14.26,7.666,-4.74e-05,4163000000000000.0
claude-v1,claude-v2,0.496,0.4946,0.171,0.1734,0.7062,2516,2558,8.619,8.762,0.0002744,9168939.6
claude-v1,gpt-3.5-turbo-1106,0.496,0.4922,0.2265,0.2324,0.6267,3333,3445,11.417,11.801,-0.0018994,3333000000000000.0
claude-v1,meta/code-llama-instruct-34b-chat,0.496,0.1032,0.057,0.47,0.5135,838,12306,2.871,42.154,-0.0019706,838000000000000.0
claude-v1,meta/llama-2-70b-chat,0.496,0.2174,0.0861,0.4115,0.5576,1267,9400,4.34,32.199,-0.00194,1267000000000000.0
claude-v1,mistralai/mixtral-8x7b-chat,0.496,0.4366,0.1715,0.2589,0.6425,2524,4258,8.646,14.586,-0.0020081,2524000000000000.0
claude-v1,zero-one-ai/Yi-34B-Chat,0.496,0.5315,0.2414,0.1839,0.6479,3551,2516,12.164,8.619,-0.0019572,3551000000000000.0
claude-v2,gpt-3.5-turbo-1106,0.4946,0.4922,0.2257,0.2293,0.6293,3330,3400,11.407,11.647,-0.0021738,3330000000000000.0
claude-v2,meta/code-llama-instruct-34b-chat,0.4946,0.1032,0.0772,0.4799,0.4984,1139,12565,3.902,43.041,-0.002245,1139000000000000.0
claude-v2,meta/llama-2-70b-chat,0.4946,0.2174,0.083,0.4077,0.5622,1224,9315,4.193,31.908,-0.0022145,1224000000000000.0
claude-v2,mistralai/mixtral-8x7b-chat,0.4946,0.4366,0.2068,0.2884,0.6003,3051,4743,10.451,16.247,-0.0022825,3051000000000000.0
claude-v2,zero-one-ai/Yi-34B-Chat,0.4946,0.5315,0.2449,0.1854,0.6444,3613,2536,12.376,8.687,-0.0022317,3613000000000000.0
gpt-3.5-turbo-1106,meta/code-llama-instruct-34b-chat,0.4922,0.1032,0.0964,0.4883,0.4852,1429,12785,4.895,43.795,-7.12e-05,1429000000000000.0
gpt-3.5-turbo-1106,meta/llama-2-70b-chat,0.4922,0.2174,0.118,0.4277,0.5316,1750,9771,5.995,33.47,-4.07e-05,1750000000000000.0
gpt-3.5-turbo-1106,mistralai/mixtral-8x7b-chat,0.4922,0.4366,0.2013,0.2801,0.6093,2985,4607,10.225,15.781,-0.0001087,2985000000000000.0
gpt-3.5-turbo-1106,zero-one-ai/Yi-34B-Chat,0.4922,0.5315,0.2823,0.2221,0.5956,4185,3038,14.336,10.407,-5.79e-05,4185000000000000.0
meta/code-llama-instruct-34b-chat,meta/llama-2-70b-chat,0.1032,0.2174,0.1843,0.0652,0.7718,4825,1490,16.528,5.104,3.06e-05,157883303.3
meta/code-llama-instruct-34b-chat,mistralai/mixtral-8x7b-chat,0.1032,0.4366,0.392,0.0322,0.5959,10264,530,35.159,1.816,-3.75e-05,1.0264e+16
meta/code-llama-instruct-34b-chat,zero-one-ai/Yi-34B-Chat,0.1032,0.5315,0.4959,0.035,0.4951,12982,479,44.47,1.641,1.34e-05,971592372.8
meta/llama-2-70b-chat,mistralai/mixtral-8x7b-chat,0.2174,0.4366,0.398,0.1638,0.5385,9093,2694,31.148,9.228,-6.81e-05,9093000000000000.0
meta/llama-2-70b-chat,zero-one-ai/Yi-34B-Chat,0.2174,0.5315,0.4486,0.079,0.5265,10249,1081,35.108,3.703,-1.72e-05,1.0249e+16
mistralai/mixtral-8x7b-chat,zero-one-ai/Yi-34B-Chat,0.4366,0.5315,0.3142,0.1753,0.5986,5167,2398,17.699,8.214,5.09e-05,101531635.8
